Dice Combination,Tag A,Tag B,Tag C,Tag D,Total Base,Final Score,Final Multiplier
"1-1-1-1-1-1-1-1","八重奏","無","雙子星","兩極",8.00,240000.00,30000.00
"1-1-1-1-1-1-1-2","七同","無","中葫蘆","無",9.00,1800.00,200.00
"1-1-1-1-1-1-1-3","七同","無","中葫蘆","絕對秩序",10.00,16000.00,1600.00
"1-1-1-1-1-1-1-4","七同","無","中葫蘆","無",11.00,2200.00,200.00
"1-1-1-1-1-1-1-5","七同","無","中葫蘆","絕對秩序",12.00,19200.00,1600.00
"1-1-1-1-1-1-1-6","七同","無","中葫蘆","無",13.00,2600.00,200.00
"1-1-1-1-1-1-1-7","七同","無","中葫蘆","絕對秩序",14.00,22400.00,1600.00
"1-1-1-1-1-1-1-8","七同","無","中葫蘆","兩極",15.00,90000.00,6000.00
"1-1-1-1-1-1-2-2","六同","無","豪華四對子","無",10.00,1800.00,180.00
"1-1-1-1-1-1-2-3","六同","三連順","順碰交響曲","無",11.00,1056.00,96.00
"1-1-1-1-1-1-2-4","六同","無","雙三同","無",12.00,504.00,42.00
"1-1-1-1-1-1-2-5","六同","無","雙三同","無",13.00,546.00,42.00
"1-1-1-1-1-1-2-6","六同","無","雙三同","無",14.00,588.00,42.00
"1-1-1-1-1-1-2-7","六同","無","雙三同","無",15.00,630.00,42.00
"1-1-1-1-1-1-2-8","六同","無","雙三同","無",16.00,672.00,42.00
"1-1-1-1-1-1-3-3","六同","無","豪華四對子","絕對秩序",12.00,17280.00,1440.00
"1-1-1-1-1-1-3-4","六同","無","雙三同","無",13.00,546.00,42.00
"1-1-1-1-1-1-3-5","六同","無","雙三同","絕對秩序",14.00,4704.00,336.00
"1-1-1-1-1-1-3-6","六同","無","雙三同","無",15.00,630.00,42.00
"1-1-1-1-1-1-3-7","六同","無","雙三同","絕對秩序",16.00,5376.00,336.00
"1-1-1-1-1-1-3-8","六同","無","雙三同","無",17.00,714.00,42.00
"1-1-1-1-1-1-4-4","六同","無","豪華四對子","無",14.00,2520.00,180.00
"1-1-1-1-1-1-4-5","六同","無","雙三同","無",15.00,630.00,42.00
"1-1-1-1-1-1-4-6","六同","無","雙三同","無",16.00,672.00,42.00
"1-1-1-1-1-1-4-7","六同","無","雙三同","無",17.00,714.00,42.00
"1-1-1-1-1-1-4-8","六同","無","雙三同","無",18.00,756.00,42.00
"1-1-1-1-1-1-5-5","六同","無","豪華四對子","絕對秩序",16.00,23040.00,1440.00
"1-1-1-1-1-1-5-6","六同","無","雙三同","無",17.00,714.00,42.00
"1-1-1-1-1-1-5-7","六同","無","雙三同","絕對秩序",18.00,6048.00,336.00
"1-1-1-1-1-1-5-8","六同","無","雙三同","無",19.00,798.00,42.00
"1-1-1-1-1-1-6-6","六同","無","豪華四對子","無",18.00,3240.00,180.00
"1-1-1-1-1-1-6-7","六同","無","雙三同","無",19.00,798.00,42.00
"1-1-1-1-1-1-6-8","六同","無","雙三同","無",20.00,840.00,42.00
"1-1-1-1-1-1-7-7","六同","無","豪華四對子","絕對秩序",20.00,28800.00,1440.00
"1-1-1-1-1-1-7-8","六同","無","雙三同","無",21.00,882.00,42.00
"1-1-1-1-1-1-8-8","六同","無","豪華四對子","兩極",22.00,118800.00,5400.00
"1-1-1-1-1-2-2-2","五同","無","葫蘆","無",11.00,990.00,90.00
"1-1-1-1-1-2-2-3","五同","三連順","順碰交響曲","無",12.00,576.00,48.00
"1-1-1-1-1-2-2-4","五同","無","小葫蘆","無",13.00,273.00,21.00
"1-1-1-1-1-2-2-5","五同","無","小葫蘆","無",14.00,294.00,21.00
"1-1-1-1-1-2-2-6","五同","無","小葫蘆","無",15.00,315.00,21.00
"1-1-1-1-1-2-2-7","五同","無","小葫蘆","無",16.00,336.00,21.00
"1-1-1-1-1-2-2-8","五同","無","小葫蘆","無",17.00,357.00,21.00
"1-1-1-1-1-2-3-3","五同","三連順","順碰交響曲","無",13.00,624.00,48.00
"1-1-1-1-1-2-3-4","五同","四連順","順碰交響曲","無",14.00,840.00,60.00
"1-1-1-1-1-2-3-5","五同","三連順","順碰交響曲","無",15.00,720.00,48.00
"1-1-1-1-1-2-3-6","五同","三連順","順碰交響曲","無",16.00,768.00,48.00
"1-1-1-1-1-2-3-7","五同","三連順","順碰交響曲","無",17.00,816.00,48.00
"1-1-1-1-1-2-3-8","五同","三連順","順碰交響曲","無",18.00,864.00,48.00
"1-1-1-1-1-2-4-4","五同","無","小葫蘆","無",15.00,315.00,21.00
"1-1-1-1-1-2-4-5","五同","無","小葫蘆","無",16.00,336.00,21.00
"1-1-1-1-1-2-4-6","五同","無","小葫蘆","無",17.00,357.00,21.00
"1-1-1-1-1-2-4-7","五同","無","小葫蘆","無",18.00,378.00,21.00
"1-1-1-1-1-2-4-8","五同","無","小葫蘆","無",19.00,399.00,21.00
"1-1-1-1-1-2-5-5","五同","無","小葫蘆","無",17.00,357.00,21.00
"1-1-1-1-1-2-5-6","五同","無","小葫蘆","無",18.00,378.00,21.00
"1-1-1-1-1-2-5-7","五同","無","小葫蘆","無",19.00,399.00,21.00
"1-1-1-1-1-2-5-8","五同","無","小葫蘆","無",20.00,420.00,21.00
"1-1-1-1-1-2-6-6","五同","無","小葫蘆","無",19.00,399.00,21.00
"1-1-1-1-1-2-6-7","五同","無","小葫蘆","無",20.00,420.00,21.00
"1-1-1-1-1-2-6-8","五同","無","小葫蘆","無",21.00,441.00,21.00
"1-1-1-1-1-2-7-7","五同","無","小葫蘆","無",21.00,441.00,21.00
"1-1-1-1-1-2-7-8","五同","無","小葫蘆","無",22.00,462.00,21.00
